SF_K,INST,mdp_2026,mdp_2027,dif_nominal,var_real_pct
2.3.1,12,4154.308,6443.075,2288.767,49.129
2.3.1,33,14489.541,14611.583,122.041,-3.036
2.3.2,07,6926.164,9142.758,2216.593,26.926
2.3.2,12,25440.246,27340.047,1899.802,3.334
2.3.2,13,3538.356,5959.160,2420.803,61.939
2.3.2,19,10292.531,11034.966,742.435,3.090
2.3.2,33,37964.574,69171.315,31206.741,75.192
2.3.2,56,172085.176,193579.975,21494.799,8.164
2.3.2,GYN,81525.772,99963.906,18438.134,17.900
2.3.2,GYR,548939.217,632892.150,83952.933,10.859
2.3.3,12,6720.503,8514.966,1794.463,21.828
2.3.3,33,2088.924,2579.089,490.165,18.716
2.3.3,GYR,7403.380,7904.953,501.573,2.668
2.3.4,12,4787.986,5985.438,1197.452,20.201
2.3.4,33,30092.846,3352.051,-26740.794,-89.289
2.3.5,12,17852.698,16031.061,-1821.637,-13.657
