year,value,source,methodology_flag,provisional_flag
1991,25.9515160213897,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1992,25.9388859344808,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1993,25.9027683555321,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1994,24.6362556267214,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1995,23.5488307968758,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1996,21.9752597449421,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1997,23.4749631246904,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1998,19.4228868793213,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1999,20.3343954576544,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2000,17.5244317345134,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2001,17.5756051610409,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2002,17.2925968069251,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2003,16.4163545124158,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2004,15.5650116187944,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2005,15.2627341858035,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2006,14.5952023756566,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2007,14.3217400049661,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2008,14.2326332400185,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2009,14.3230206023244,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2010,14.4500872616488,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2011,14.0455386652565,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2012,14.0972990523337,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2013,14.0156537837076,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2014,14.1220607305036,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2015,13.7787551676292,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2016,13.441409136793,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2017,13.4862998492633,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2018,13.1977173116429,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2019,12.8908860045255,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2020,13.117613506291,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2021,13.3118150499106,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2022,12.6495520357881,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2023,11.9647587557082,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2024,11.6058237945043,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2025,11.4004255375265,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
