year,norm_on,norm_off
2010,NaN,NaN
2011,1.2279515005311274,1.2661445306894559
2012,1.1998119568349153,1.263722841899307
2013,1.1783471461294006,1.303715320011155
2014,1.1412733318811492,1.3245231055391138
2015,1.1202563405758095,1.3131214735874974
2016,1.1006559679734818,1.3217767261279483
2017,1.086371134098378,1.3230164713997472
2018,1.0545935882714517,1.343402539619892
2019,1.0339475519815833,1.34464946202049
2020,1.0061196155183536,1.3621074154102006
2021,0.9977034167138487,1.351585124226498
2022,0.9810655697876536,1.362183129928613
2023,0.9581274669653365,1.3672804532707463
2024,0.959879267087808,1.3596023318457255
