cell,social_norm_on,map_on,map_depth,tfr_start,tfr_end,pct_change,tfr_end_sd,w
A_on_B_off,true,false,0.0,1.1175811275917096,0.8527715043216262,-23.694890396075778,0.030861037486369064,0.4
A_on_B_on,true,true,0.6,0.7107014137534815,0.4718600593184016,-33.60642737062656,0.017019375500899832,0.4
A_off_B_off,false,false,0.0,1.1351288091556695,1.2009860488714725,5.801741545506974,0.02293434875226009,0.4
A_off_B_on,false,true,0.6,0.7270721859723448,0.8221432534834479,13.075877381275486,0.02013870074561604,0.4
A_on_B_off,true,false,0.0,1.232927779507282,0.9576763433406247,-22.32502509406161,0.030333439664180624,0.6
A_on_B_on,true,true,0.6,0.8599520054006986,0.5770929105515976,-32.892428074204155,0.021143027722270807,0.6
A_off_B_off,false,false,0.0,1.2639830765020732,1.3649819236818446,7.990522108830285,0.030211113344462547,0.6
A_off_B_on,false,true,0.6,0.8839035271559489,1.046724073560464,18.42062412946886,0.0202188575194059,0.6
A_on_B_off,true,false,0.0,1.3445638061451752,1.0611217219454363,-21.080597507109687,0.034932380313914185,0.8
A_on_B_on,true,true,0.6,1.0245823820292916,0.7012191214737096,-31.560493936576147,0.021922724335267072,0.8
A_off_B_off,false,false,0.0,1.3928220293683966,1.5320531185137336,9.996330199377601,0.028168022937275522,0.8
A_off_B_on,false,true,0.6,1.0589911533673066,1.284115349958727,21.258364234260696,0.026949704981077925,0.8
