year,series,value,sd
2010,generated_norm_on,NaN,0.0
2010,generated_norm_off,NaN,
2010,observed,1.83,
2011,generated_norm_on,1.2279515005311274,0.02728733786412554
2011,generated_norm_off,1.2661445306894559,
2011,observed,1.87,
2012,generated_norm_on,1.1998119568349153,0.02610843072415385
2012,generated_norm_off,1.263722841899307,
2012,observed,1.84,
2013,generated_norm_on,1.1783471461294006,0.020595662039865018
2013,generated_norm_off,1.303715320011155,
2013,observed,1.76,
2014,generated_norm_on,1.1412733318811492,0.028618567186195817
2014,generated_norm_off,1.3245231055391138,
2014,observed,1.78,
2015,generated_norm_on,1.1202563405758095,0.03387436545387063
2015,generated_norm_off,1.3131214735874974,
2015,observed,1.77,
2016,generated_norm_on,1.1006559679734818,0.024333367549862945
2016,generated_norm_off,1.3217767261279483,
2016,observed,1.71,
2017,generated_norm_on,1.086371134098378,0.026168833222941203
2017,generated_norm_off,1.3230164713997472,
2017,observed,1.67,
2018,generated_norm_on,1.0545935882714517,0.022074978721117102
2018,generated_norm_off,1.343402539619892,
2018,observed,1.66,
2019,generated_norm_on,1.0339475519815833,0.022640980260470796
2019,generated_norm_off,1.34464946202049,
2019,observed,1.56,
2020,generated_norm_on,1.0061196155183536,0.020529283965609154
2020,generated_norm_off,1.3621074154102006,
2020,observed,1.41,
2021,generated_norm_on,0.9977034167138487,0.02879917995595104
2021,generated_norm_off,1.351585124226498,
2021,observed,1.32,
2022,generated_norm_on,0.9810655697876536,0.030772868368034847
2022,generated_norm_off,1.362183129928613,
2022,observed,1.3,
2023,generated_norm_on,0.9581274669653365,0.021528124840108433
2023,generated_norm_off,1.3672804532707463,
2023,observed,1.22,
2024,generated_norm_on,0.959879267087808,0.03152220395258783
2024,generated_norm_off,1.3596023318457255,
2024,observed,1.12,
