period,effect,second_diff
2010,0.034373810454400265,
2011,0.014230812682397759,0.04154536541572441
2012,0.03563318032611966,-0.04195203925716746
2013,0.015083508712674104,0.026258809404954214
2014,0.020792646504182763,0.0021996293206138027
2015,0.028701413616305224,-0.02971396505307098
2016,0.006896215675356706,0.04016729282192985
2017,0.025258310556338037,-0.03916690298449859
2018,0.004453502452820778,0.005491623964294444
2019,-0.010859681686402037,0.011219700168527885
2020,-0.014953165657096968,-0.014251717611521478
2021,-0.03329836723931338,0.025030763956743942
2022,-0.02661280486478584,-0.025945441306738003
2023,-0.04587268379699631,0.011305864993206013
2024,-0.05382669773600076,
