sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.10030062,0.22361501,0.00000000,0.00504907,1.00000000
M,theta_L,2,0.17846808,0.25205533,0.16147014,0.00541561,0.99027427
M,theta_L,3,0.24606100,0.26126892,0.38626980,0.00931429,0.98197222
M,theta_L,4,0.31413540,0.26384609,0.62017721,0.01023995,0.96865805
M,theta_L,5,0.39921517,0.27288248,0.83591899,0.01790538,0.95777528
M,theta_L,6,0.48090697,0.27433443,1.04231872,0.02477215,0.93511388
M,theta_L,7,0.55025796,0.26697735,1.20558665,0.03467841,0.90063284
M,theta_L,8,0.61948764,0.25786422,1.28450228,0.04506597,0.84867424
M,theta_L,9,0.68157901,0.24461067,1.26057989,0.04901299,0.77518832
M,theta_L,10,0.68348525,0.00000000,1.11407567,0.05376137,0.68447321
M,theta_L,11,0.73481989,0.00000000,1.04059958,0.05338082,0.59026206
M,theta_L,12,0.76648582,0.00000000,0.89463271,0.04707328,0.48964647
M,theta_L,13,0.76027393,0.00000000,0.67702471,0.03086226,0.39021289
M,theta_L,14,0.68869333,0.00000000,0.41424240,0.01172843,0.28963732
M,theta_L,15,0.56025184,0.00000000,0.17472726,0.00341581,0.19030277
M,theta_L,16,0.44105629,0.00000000,0.03206109,0.00140410,0.10153931
M,theta_L,17,0.40958674,0.00000000,0.00011659,0.00000000,0.04015694
M,theta_H,1,0.36650853,0.30874813,0.00000000,0.00995259,1.00000000
M,theta_H,2,0.55036540,0.34822636,0.30893663,0.01000018,0.99735128
M,theta_H,3,0.68710697,0.36106524,0.78753097,0.01707829,0.99525414
M,theta_H,4,0.80963450,0.36486522,1.31614641,0.01723396,0.99023381
M,theta_H,5,0.96984815,0.37752266,1.84437686,0.03370768,0.98629574
M,theta_H,6,1.11069835,0.38012027,2.41151320,0.05023380,0.97563493
M,theta_H,7,1.21721665,0.37096579,2.95313042,0.07804616,0.95683446
M,theta_H,8,1.32300357,0.36003527,3.38124760,0.11464952,0.92642258
M,theta_H,9,1.41653877,0.34407784,3.67283557,0.14267825,0.88046037
M,theta_H,10,1.26267266,0.00000000,3.80214819,0.16877589,0.82037746
M,theta_H,11,1.38778553,0.00000000,3.59534376,0.19160424,0.75489405
M,theta_H,12,1.49831911,0.00000000,3.21204100,0.19611270,0.68041529
M,theta_H,13,1.55107239,0.00000000,2.61978387,0.16728537,0.59888170
M,theta_H,14,1.46024605,0.00000000,1.83414134,0.10146207,0.49713522
M,theta_H,15,1.15537100,0.00000000,0.98276046,0.02568632,0.36544440
M,theta_H,16,0.70394589,0.00000000,0.31234781,0.00322615,0.20652884
M,theta_H,17,0.43909196,0.00000000,0.02887411,0.00000000,0.07731284
F,theta_L,1,0.05961668,0.20433567,0.00000000,0.00234447,1.00000000
F,theta_L,2,0.10393159,0.22024810,0.14437876,0.00305793,0.98577111
F,theta_L,3,0.15548867,0.22994539,0.31985830,0.00534747,0.97330179
F,theta_L,4,0.20206742,0.22591657,0.50629621,0.00659158,0.95468518
F,theta_L,5,0.26544669,0.23110824,0.66007106,0.01097539,0.93964752
F,theta_L,6,0.33661413,0.23561516,0.79052444,0.01519047,0.91103221
F,theta_L,7,0.40041314,0.23191688,0.88509862,0.02020208,0.86975423
F,theta_L,8,0.46102142,0.22401940,0.91321986,0.02496790,0.80967726
F,theta_L,9,0.50664425,0.20300313,0.85196002,0.02701378,0.72763705
F,theta_L,10,0.55873075,0.00000000,0.66104120,0.03034562,0.63013984
F,theta_L,11,0.59781247,0.00000000,0.63470352,0.03086181,0.53187580
F,theta_L,12,0.61958200,0.00000000,0.55723976,0.02786312,0.43140804
F,theta_L,13,0.61706020,0.00000000,0.43489617,0.02086042,0.33677785
F,theta_L,14,0.57868740,0.00000000,0.28417795,0.01183493,0.24882282
F,theta_L,15,0.51240223,0.00000000,0.14249823,0.00777663,0.16828086
F,theta_L,16,0.44436207,0.00000000,0.04527249,0.00766631,0.10132442
F,theta_L,17,0.41555777,0.00000000,0.00593631,0.00000000,0.05635908
F,theta_H,1,0.24038485,0.28212890,0.00000000,0.00780464,1.00000000
F,theta_H,2,0.34943103,0.30451948,0.28124542,0.00827410,0.99436126
F,theta_H,3,0.45351281,0.31827650,0.63651591,0.01351961,0.98995010
F,theta_H,4,0.52568666,0.31320912,1.03755022,0.01402572,0.98122639
F,theta_H,5,0.63290251,0.32082886,1.39657596,0.02619766,0.97415499
F,theta_H,6,0.74977183,0.32797826,1.75432214,0.03956970,0.95778641
F,theta_H,7,0.84518994,0.32418735,2.10501920,0.05946274,0.93257773
F,theta_H,8,0.93339039,0.31514554,2.38942586,0.08381446,0.89329384
F,theta_H,9,0.98875170,0.28810056,2.57348596,0.10404460,0.83611488
F,theta_H,10,0.93830963,0.00000000,2.57156948,0.12213576,0.76558676
F,theta_H,11,1.03967041,0.00000000,2.51198032,0.13863751,0.69101505
F,theta_H,12,1.13150006,0.00000000,2.33245861,0.14294706,0.61062270
F,theta_H,13,1.18996757,0.00000000,2.00960131,0.12989586,0.52807870
F,theta_H,14,1.16745993,0.00000000,1.53979203,0.09353639,0.43634366
F,theta_H,15,1.02290751,0.00000000,0.98210902,0.04351697,0.32964201
F,theta_H,16,0.76909521,0.00000000,0.46459121,0.01278981,0.20650096
F,theta_H,17,0.54376290,0.00000000,0.13089255,0.00000000,0.09600105
