iter,K,L,r_5yr,r_annual_pct,n_p,rn_minus_np,primary,pension_deficit,B,B_over_Y,tau_p,DIFF_over_Y
1,12.000000,10.000000,0.163446,3.07403,-0.019841,1.505976e-01,0.715061,0.746617,4.748158e+00,2.779073e-01,0.108302,NaN
2,16.189430,11.783972,0.120931,2.30945,-0.019841,1.165852e-01,0.284891,1.094499,2.443625e+00,1.156018e-01,0.108302,NaN
3,18.218770,13.143966,0.118270,2.26083,-0.019841,1.144563e-01,0.033790,1.267632,2.952216e-01,1.248120e-02,0.108302,NaN
4,20.145036,14.107064,0.109442,2.09887,-0.019841,1.073944e-01,-0.190383,1.417461,-1.772746e+00,-6.908543e-02,0.108302,NaN
5,21.935745,14.806911,0.098785,1.90197,-0.019841,9.886886e-02,-0.387452,1.541832,-3.918851e+00,-1.435908e-01,0.108302,NaN
6,23.667146,15.326457,0.087050,1.68337,-0.019841,8.948075e-02,-0.567606,1.650522,-6.343333e+00,-2.212189e-01,0.108302,NaN
7,25.450432,15.722984,0.074098,1.43989,-0.019841,7.911907e-02,-0.741489,1.750116,-9.371811e+00,-3.132354e-01,0.108302,NaN
8,27.454318,16.037388,0.059201,1.15694,-0.019841,6.720130e-02,-0.927528,1.853250,-1.380223e+01,-4.432450e-01,0.108302,NaN
9,30.025966,16.301135,0.040506,0.79731,-0.019841,5.224577e-02,-1.153013,1.973545,-2.206903e+01,-6.791175e-01,0.108302,NaN
10,34.126156,16.542959,0.013260,0.26380,-0.019841,3.044844e-02,-1.495646,2.152880,-4.912063e+01,-1.429947e+00,0.108302,NaN
11,44.900440,16.801943,-0.042064,-0.85580,-0.019841,-1.381034e-02,-2.347018,2.568410,1.699464e+02,4.437637e+00,0.108302,NaN
