field,value
label,κ=0.30 (pension reform)
K,16.4789270349632
L,16.642520957809396
Y,26.533505423266146
r_annual,4.236291685126692
w,1.0203648542153045
τp,0.08525246913322808
pen,0.6910868470910483
B,8.24797578679088
B_over_Y,0.3108513426785504
C_over_Y,0.46773853575592245
M_over_Y,0.04387833151944712
N_W,7.371624945129257
N_R,2.0948307603212206
depratio,0.28417489711076027
W_MθL,3.364506495725902
W_MθH,4.077165541329758
W_FθL,3.134494364066976
W_FθH,3.8330228119553356
DIFF,-9.799565847463174e-5
euler_max,-5.521505389682163
