age_period,theta_idx,theta_value,c,l,a,m,h,m_positive_share
1,1,-0.2,0.4031514414128245,0.2590556127482696,0.0,0.004748028548572501,1.0000000000000002,1.0
1,2,0.2,0.6685625620327539,0.300679511827286,0.0,0.004948335293115982,1.0000000000000002,1.0
2,1,-0.2,0.5867638628216703,0.3009920423885204,0.1890729525665515,0.0046604835349917965,0.9997454848473771,1.0
2,2,0.2,0.9387980066960271,0.34716694921865504,0.25184274383974026,0.004855007215764204,0.9998973313779632,1.0
3,1,-0.2,0.7920242629423117,0.33510619514797746,0.5767067377478252,0.010514039610841646,0.9996663274432245,1.0
3,2,0.2,1.2387484244343105,0.38678940622855545,0.7739987047896584,0.01074876560747784,0.9998202804388717,1.0
4,1,-0.2,0.9549095016911517,0.3474230919451701,1.1752488469172304,0.010921146563499132,0.9991895775632316,1.0
4,2,0.2,1.4718179447467323,0.4010754170610258,1.6237383816529336,0.010549722946452424,0.9996138564042694,1.0
5,1,-0.2,1.1304976999553216,0.3593313528853482,1.859247486165664,0.028360952100120282,0.9989856707927754,1.0
5,2,0.2,1.7301797450847582,0.4148676798564824,2.6104676546928403,0.02954405707590132,0.9994341105732445,1.0
6,1,-0.2,1.2898664389206442,0.3602347318795822,2.619835763975572,0.05309462226517356,0.9977246588514749,1.0
6,2,0.2,1.943026898359017,0.4158421150300209,3.721331004062506,0.05833803826180227,0.9986108850184641,1.0
7,1,-0.2,1.451257885650505,0.36052017466428077,3.33636637480634,0.10878742238114904,0.9951790947261732,1.0
7,2,0.2,2.1516778502653704,0.41604356824822086,4.796425700971474,0.11533363060388264,0.9972279549735079,1.0
8,1,-0.2,1.6072245653645298,0.35840258191090574,3.960106540618413,0.19742707796789385,0.9911131570213264,1.0
8,2,0.2,2.348030852996398,0.4133623452621434,5.793025555599813,0.20955077758445792,0.9947370658971392,1.0
9,1,-0.2,1.7662631980143413,0.35596095005479755,4.4207301489134645,0.26384031694649873,0.980391606726538,1.0
9,2,0.2,2.540973459993057,0.41021583262889383,6.628605547372717,0.29192163695311385,0.9874380857922277,1.0
10,1,-0.2,1.5465614302491613,0.0,4.726223233818705,0.32266308301647917,0.9523589103271528,1.0
10,2,0.2,2.1281310360845658,0.0,7.314669634860117,0.3652712401149181,0.964423101818602,1.0
11,1,-0.2,1.713944743463847,0.0,4.423471563733375,0.3434485210341809,0.9048725780282221,1.0
11,2,0.2,2.334479020604082,0.0,6.838577529365599,0.39417080761953854,0.9239562363052527,1.0
12,1,-0.2,1.8690129573085135,0.0,3.9186296151359383,0.3150030959067878,0.822613907190637,1.0
12,2,0.2,2.5321888385204523,0.0,6.111079727070363,0.46599577425740424,0.8489659946818782,1.0
13,1,-0.2,1.956369884252082,0.0,3.2209773714276126,0.293282793865448,0.7076341614048008,1.0
13,2,0.2,2.6514317495023527,0.0,5.02561642931112,0.37972969569376547,0.7572164980200857,1.0
14,1,-0.2,1.8812893575249803,0.0,2.318048973552502,0.23506813213351135,0.5717903050009495,1.0
14,2,0.2,2.56830875686397,0.0,3.705781195311,0.3823543858285901,0.6258740385253753,1.0
15,1,-0.2,1.5809627549447764,0.0,1.308430973659741,0.11368332936365037,0.42344164290436465,1.0
15,2,0.2,2.1649845395352547,0.0,2.139578686964167,0.16444331192791195,0.4826438566498698,1.0
16,1,-0.2,1.1120845239969628,0.0,0.4475546999480139,0.0,0.25251510083419165,0.0
16,2,0.2,1.440105908179371,0.0,0.7650727498442237,0.0,0.29973624117617487,0.0
