metric,value
K,15.235499183828564
L,17.601605771607073
K_over_L,0.8655743902868654)
Y,26.736333871371084
C,13.026889208393538
M,1.2889058491010397
G,5.079903435560506
deltaK,5.3189551024119455
Lambda_void,1.2471746317262546
r_5yr,0.28263761097190043
w,0.9721416272871786
taup,0.13807513122264797
pen,1.1629902347839756
B_debt,7.355078852644641
A_dom,22.593176264275815
W1_theta_L,3.5648591643297745
W1_theta_H,4.224849229040485
K_over_Y_5yr,0.5698424943796253
C_over_Y,0.48723543291560106
M_over_Y,0.04820802490356328
